timestamp,est_x,est_y,est_z,est_qx,est_qy,est_qz,est_qw,meas_x,meas_y,meas_z,meas_qx,meas_qy,meas_qz,meas_qw,imu_x,imu_y,imu_z,gnss_age
1743698972.441354,503.1331771025511,446.4510554582326,-14.571179811687239,-0.02386767431553088,-0.16502802958090876,-0.8211946205435277,0.5457430519629015,503.0547949667102,447.0126002794252,-14.676259325078103,0.19188421868830013,-0.07018106259949604,-0.8272035177610683,0.523439972942935,504.4414355541602,445.8768375700883,-7.696167848899135,87.5
1743698972.541308,503.4454625998112,447.18636508456854,-14.578291425955792,-0.026185075678878265,-0.16543375031132315,-0.8172913941947207,0.5513445320712558,503.3540554584601,447.74408658309807,-14.685051866300148,0.1901064987394758,-0.07047581239124306,-0.8237231342692781,0.5295024807065674,504.8189257061145,446.74488014317853,-7.70059483405908,87.5999984741211
1743698972.6412418,503.7470749920381,447.9245740386912,-14.587008317443916,-0.025684054470713546,-0.16542124630931268,-0.8130854128981468,0.5575556043549998,503.6450517739599,448.4776804678143,-14.694984263713167,0.19039290420122773,-0.0693735863162393,-0.8203243234405413,0.5347951494948917,505.1395929796995,447.52467783985134,-7.700349133195324,87.69999694824219
1743698972.7412157,504.03704557088264,448.6645612602397,-14.597358630309362,-0.02545246130842028,-0.163126355218999,-0.809146060964353,0.5639367131799278,503.92253460808195,449.21104789780344,-14.70420170127087,0.18872773618145489,-0.06976673489615529,-0.817265406858502,0.539992313880633,505.41810110279675,448.23670574890673,-7.698673295525729,87.79999542236328
1743698972.8411622,504.31431730267906,449.4067311944328,-14.60256455504965,-0.028961993110177855,-0.1644688815255066,-0.8048345302643858,0.5695195947980547,504.1894366639624,449.94892841253943,-14.70607385571716,0.18756981624026214,-0.06958778004102731,-0.8132481535833467,0.5464453729311225,505.68277806377716,448.9342664792141,-7.703771691311847,87.9000015258789
1743698972.941195,504.5848220117223,450.15065748239545,-14.609795422343817,-0.032246144526847084,-0.16644292262586052,-0.8001692942635822,0.5753138623296298,504.45105839924065,450.68955693339944,-14.7142715600061,0.18682759565043622,-0.0690920372907079,-0.8090381905190787,0.5529728258857856,505.8418275012671,449.3673216048892,-7.707458221874087,88.0
1743698973.0410616,504.843947098551,450.90262678360307,-14.615840509787304,-0.03375484907570113,-0.16567654314868266,-0.7963163859291037,0.5807685483176496,504.6975141219063,451.43709574049615,-14.719572710551143,0.1877774159008496,-0.06759636188668154,-0.805835479666722,0.5574939942704211,506.1870669797545,450.3467700082943,-7.714029238032948,88.0999984741211
1743698973.1410136,505.0937766512669,451.66175405801806,-14.62425901266038,-0.03340986263637047,-0.16391810719536912,-0.7924470908259137,0.5865511430844307,504.9346877821879,452.1902340208628,-14.726583972217941,0.18799791191644033,-0.06649693702573164,-0.8020250831583081,0.5630192789471452,506.48938553430486,451.2567724324041,-7.718957996318796,88.19999694824219
1743698973.240958,505.32867821880774,452.421823025825,-14.629797282614359,-0.033278522120054256,-0.16358640673918526,-0.7877685692602283,0.5929188045435563,505.15748868562315,452.9451638601238,-14.728514580226683,0.18855833760876173,-0.06539704307202061,-0.7992762689328211,0.5668566185522447,506.70697806129175,451.950053951014,-7.723580426154153,88.29999542236328
1743698973.3409624,505.55266445529134,453.18496481372193,-14.631900110164104,-0.03431971371914453,-0.16359297385780838,-0.7828664385611787,0.599315973030196,505.372307134716,453.7024739464381,-14.727748930663784,0.1899560047517499,-0.06337187519734488,-0.7954347878454542,0.5720001922884141,506.8988366108837,452.59320405855647,-7.729279393592941,88.4000015258789
1743698973.4408915,505.76817007787423,453.95082884703527,-14.640599936884954,-0.03628654714698493,-0.16325229474802558,-0.7782025412402762,0.6053369140923338,505.5775313497024,454.4609497548063,-14.738338803658838,0.190695245840516,-0.061980550636793114,-0.7921384706055814,0.5764636831086896,507.15076166456527,453.4818558920689,-7.7299001358332005,88.5
1743698973.5408912,505.97550598461265,454.719777545437,-14.645700473689741,-0.034626879966750054,-0.16119149492757054,-0.7732233023537908,0.6123267149519784,505.7733428561664,455.22140294363703,-14.737979645765295,0.19169470944668665,-0.060073972416258975,-0.7876304097835065,0.582479693888591,507.3596459592349,454.28236520274896,-7.73070410669098,88.5999984741211
1743698973.6407473,506.16568382273647,455.4906477913866,-14.64962473355513,-0.035800094237586254,-0.1614850914885084,-0.7687751653899626,0.6177585803201472,505.9530866079955,455.98480979571116,-14.739210260807544,0.19228141284096406,-0.058630563694798604,-0.7836951135061235,0.5877178611743367,507.54501001370534,455.02441367201664,-7.7294455907846995,88.69999694824219
1743698973.740696,506.344836826009,456.26183012425344,-14.650495942882642,-0.038882494532826634,-0.1615979221662516,-0.763777416923776,0.6237133320426133,506.1217164815178,456.74909318925324,-14.738173988595474,0.19328274333000844,-0.056902642090174496,-0.780021865149577,0.5924270084513018,507.715210335841,455.74895252484004,-7.72768854985468,88.79999542236328
1743698973.840646,506.5140958434188,457.0366121652878,-14.653653272862558,-0.03840110758024817,-0.15797502776335753,-0.7589209788268328,0.6305618077843744,506.2790550294055,457.5142397810937,-14.739335782725679,0.19366258284377058,-0.0556507894476936,-0.7762256935404076,0.5973871996685577,507.890173403727,456.53236551979535,-7.727289090775654,88.9000015258789
1743698973.9405985,506.67186976658905,457.81437928798954,-14.656398820160156,-0.04017430898799529,-0.15638047080891754,-0.7541474830704008,0.6365475214196488,506.42807448211107,458.2852793665218,-14.738838185183917,0.1948268641520891,-0.05349518278021094,-0.7714802704715732,0.6033232555579834,508.04854427947504,457.2834668011978,-7.722690606031654,89.0
1743698974.0405428,506.8178840049802,458.5940965229008,-14.658467363156198,-0.04133969594322152,-0.15755662954872895,-0.7487009952406019,0.6425836581724585,506.5670930847084,459.0585881662095,-14.737222973861911,0.19655943680190607,-0.05089532202547649,-0.7670208484342713,0.6086485620349491,508.19998867185495,458.05194944635696,-7.7195339112563195,89.0999984741211
1743698974.1404984,506.95655801945884,459.3729369243789,-14.657473207236224,-0.03944839485311119,-0.15930027452612724,-0.7430910664468374,0.6487548948919888,506.698466929882,459.82955357620426,-14.735780154099007,0.19664019824004797,-0.04954072799008705,-0.7618752254990753,0.6151621651865953,508.35491167347834,458.9155902681521,-7.717339321306713,89.19999694824219
